Trimestre,Precio de la acción al final del periodo,Acciones,Acciones en circulación,Deuda neta MDP,Valor de la empresa,Valor en libros (activos),Activos fijos
1T2010,47.53,"3,578,226,270.00","17,891,131,350.00","46,155.00","896,520.47","207,094.00","66,196.00"
2T2010,43.15,"3,578,226,270.00","17,891,131,350.00","23,320.00","795,322.32","205,459.00","39,203.00"
3T2010,50.73,"3,578,226,270.00","17,891,131,350.00","24,645.00","932,262.09","221,943.00","41,320.00"
4T2010,55.92,"3,578,226,270.00","17,891,131,350.00","24,813.00","1,025,285.07","223,578.00","42,136.00"
1T2011,58.7,"3,578,226,270.00","17,891,131,350.00","24,511.00","1,074,720.41","226,751.00","41,657.00"
2T2011,66.49,"3,578,226,270.00","17,891,131,350.00","28,066.00","1,217,647.32","231,277.00","43,198.00"
3T2011,64.82,"3,578,226,270.00","17,891,131,350.00","29,769.00","1,189,472.13","247,006.00","45,304.00"
4T2011,69.71,"3,578,226,270.00","17,891,131,350.00","30,036.00","1,277,226.77","274,704.00","53,402.00"
1T2012,82.27,"3,578,226,270.00","17,891,131,350.00","25,834.00","1,497,737.38","255,796.00","53,690.00"
2T2012,89.25,"3,578,226,270.00","17,891,131,350.00","28,708.00","1,625,491.47","266,612.00","56,531.00"
3T2012,91.94,"3,578,226,270.00","17,891,131,350.00","28,131.00","1,673,041.62","272,032.00","57,063.00"
4T2012,100.7,"3,578,226,270.00","17,891,131,350.00","37,589.00","1,839,225.93","295,942.00","61,649.00"
1T2013,104.5,"3,578,226,270.00","17,891,131,350.00","28,555.00","2,080,131.03","285,376.00","59,413.00"
2T2013,103.58,"3,578,226,270.00","17,891,131,350.00","44,457.00","1,897,620.39","322,962.00","62,719.00"
3T2013,97.09,"3,578,226,270.00","17,891,131,350.00","52,265.00","1,789,314.94","342,908.00","67,217.00"
4T2013,97.87,"3,578,226,270.00","17,891,131,350.00","68,136.00","1,819,141.03","359,192.00","73,955.00"
1T2014,93.24,"3,578,226,270.00","17,891,131,350.00","68,301.00","1,736,470.09","357,612.00","71,977.00"
2T2014,93.65,"3,578,226,270.00","17,891,131,350.00","67,941.00","1,743,445.45","364,989.00","74,418.00"
3T2014,92.05,"3,578,226,270.00","17,891,131,350.00","75,659.00","1,722,537.64","369,485.00","75,427.00"
4T2014,88.03,"3,578,226,270.00","17,891,131,350.00","73,702.00","1,648,658.29","376,173.00","75,629.00"
1T2015,93.5,"3,578,226,270.00","17,891,131,350.00","75,101.00","1,747,921.78","361,988.00","72,092.00"
2T2015,89.09,"3,578,226,270.00","17,891,131,350.00","77,178.00","1,671,098.89","373,936.00","78,577.00"
3T2015,89.25,"3,578,226,270.00","17,891,131,350.00","81,963.00","1,678,746.47","420,743.00","76,355.00"
4T2015,92.35,"3,578,226,270.00","17,891,131,350.00","74,404.00","1,726,649.98","409,332.00","80,296.00"
1T2016,96.31,"3,578,226,270.00","17,891,131,350.00","75,566.00","1,798,660.86","444,523.00","81,950.00"
2T2016,92.49,"3,578,226,270.00","17,891,131,350.00","79,049.00","1,733,799.74","473,512.00","87,535.00"
3T2016,92.04,"3,578,226,270.00","17,891,131,350.00","81,160.00","1,727,859.73","492,850.00","91,536.00"
4T2016,76.21,"3,578,226,270.00","17,891,131,350.00","96,583.00","1,460,066.12","545,623.00","102,223.00"
1T2017,88.52,"3,578,226,270.00","17,891,131,350.00","104,044.00","1,687,766.95","533,519.00","116,457.00"
2T2017,98.34,"3,578,226,270.00","17,891,131,350.00","95,269.00","1,854,682.86","523,862.00","116,179.00"
3T2017,95.53,"3,578,226,270.00","17,891,131,350.00","86,339.00","1,795,478.78","566,716.00","114,256.00"
4T2017,93.9,"3,578,226,270.00","17,891,131,350.00","91,034.00","1,771,011.23","588,541.00","116,172.00"
